,Name,0.5,1.5
97,Changgyeonggung Palace,"[(97, 3)]","[(97, 3), (97, 6), (97, 16), (97, 19), (97, 24), (97, 57), (97, 62), (97, 70), (97, 79), (97, 83), (97, 108), (97, 110), (97, 116), (97, 117), (97, 119), (97, 123), (97, 138), (97, 140), (97, 144), (97, 162)]"
98,Starfield COEX Mall,"[(98, 23), (98, 41), (98, 100), (98, 176)]","[(98, 17), (98, 23), (98, 41), (98, 100), (98, 128), (98, 176)]"
99,Jamsil Baseball Stadium,[],[]
100,Coex Aquarium,"[(100, 85), (100, 98), (100, 137)]","[(100, 17), (100, 85), (100, 98), (100, 128), (100, 137)]"
101,Grevin Museum,"[(101, 9), (101, 10), (101, 11), (101, 14), (101, 15), (101, 37), (101, 47), (101, 54), (101, 127), (101, 131), (101, 141), (101, 156)]","[(101, 0), (101, 6), (101, 9), (101, 10), (101, 11), (101, 14), (101, 15), (101, 16), (101, 33), (101, 34), (101, 37), (101, 47), (101, 49), (101, 51), (101, 52), (101, 54), (101, 56), (101, 57), (101, 61), (101, 62), (101, 64), (101, 66), (101, 70), (101, 78), (101, 83), (101, 86), (101, 89), (101, 92), (101, 95), (101, 96), (101, 105), (101, 111), (101, 113), (101, 115), (101, 117), (101, 119), (101, 121), (101, 123), (101, 125), (101, 127), (101, 129), (101, 131), (101, 135), (101, 136), (101, 138), (101, 141), (101, 143), (101, 144), (101, 150), (101, 156), (101, 157), (101, 163), (101, 164), (101, 167), (101, 171), (101, 173)]"
102,Seodaemun Prison History Hall,[],[]
103,Seoul Lantern Festival,"[(103, 80)]","[(103, 43), (103, 46), (103, 58), (103, 80)]"
104,Namsangol Hanok Village,"[(104, 106)]","[(104, 2), (104, 12), (104, 13), (104, 14), (104, 24), (104, 34), (104, 37), (104, 61), (104, 66), (104, 83), (104, 84), (104, 92), (104, 106), (104, 111), (104, 124), (104, 131), (104, 136), (104, 138), (104, 164)]"
105,Namdaemun Market,"[(105, 56), (105, 111), (105, 125), (105, 164), (105, 173)]","[(105, 9), (105, 10), (105, 11), (105, 12), (105, 13), (105, 14), (105, 15), (105, 33), (105, 34), (105, 37), (105, 47), (105, 49), (105, 51), (105, 52), (105, 54), (105, 56), (105, 61), (105, 64), (105, 66), (105, 69), (105, 83), (105, 89), (105, 92), (105, 101), (105, 111), (105, 113), (105, 115), (105, 123), (105, 125), (105, 127), (105, 129), (105, 131), (105, 135), (105, 136), (105, 141), (105, 143), (105, 150), (105, 156), (105, 157), (105, 160), (105, 163), (105, 164), (105, 167), (105, 171), (105, 173)]"
106,Korea House,"[(106, 104)]","[(106, 2), (106, 6), (106, 12), (106, 13), (106, 14), (106, 24), (106, 31), (106, 34), (106, 37), (106, 61), (106, 83), (106, 84), (106, 92), (106, 104), (106, 111), (106, 117), (106, 124), (106, 131), (106, 136), (106, 138), (106, 164)]"
107,Itaewon,[],"[(107, 4), (107, 12), (107, 13), (107, 28), (107, 132)]"
108,Samcheongdong-gil Road,"[(108, 19), (108, 70)]","[(108, 0), (108, 3), (108, 6), (108, 16), (108, 19), (108, 33), (108, 52), (108, 57), (108, 62), (108, 70), (108, 78), (108, 95), (108, 96), (108, 97), (108, 113), (108, 117), (108, 119), (108, 121), (108, 123), (108, 129), (108, 133), (108, 138), (108, 143), (108, 144), (108, 150), (108, 157), (108, 163), (108, 167), (108, 170)]"
109,Garosu-gil,[],"[(109, 82), (109, 174)]"
110,Naksan Park,"[(110, 79), (110, 116), (110, 140)]","[(110, 3), (110, 22), (110, 24), (110, 30), (110, 36), (110, 43), (110, 46), (110, 60), (110, 73), (110, 74), (110, 79), (110, 97), (110, 116), (110, 140), (110, 142), (110, 162)]"
111,Shinsegae Dept. Store Main,"[(111, 14), (111, 34), (111, 37), (111, 61), (111, 105), (111, 125), (111, 131), (111, 136), (111, 164)]","[(111, 6), (111, 9), (111, 10), (111, 11), (111, 12), (111, 13), (111, 14), (111, 15), (111, 16), (111, 33), (111, 34), (111, 37), (111, 47), (111, 49), (111, 51), (111, 52), (111, 54), (111, 56), (111, 61), (111, 64), (111, 66), (111, 69), (111, 83), (111, 89), (111, 92), (111, 101), (111, 104), (111, 105), (111, 106), (111, 113), (111, 115), (111, 123), (111, 125), (111, 127), (111, 129), (111, 131), (111, 135), (111, 136), (111, 138), (111, 141), (111, 143), (111, 150), (111, 156), (111, 157), (111, 160), (111, 163), (111, 164), (111, 167), (111, 171), (111, 173)]"
112,Lotte World,"[(112, 120)]","[(112, 8), (112, 29), (112, 94), (112, 120)]"
