,names,words,tags
70,Jogyesa Temple.csv,"['templ', 'visit', 'buddha', 'place', 'beauti', 'insid', 'around']","['walking', 'touring']"
71,Jongmyo Shrine.csv,"['place', 'visit', 'shrine', 'tour', 'guid', 'english', 'build', 'jongmyo']",['touring']
72,Jungbu Market.csv,"['dri', 'seoul', 'place', 'lot', 'local', 'market', 'fish', 'visit']",['shopping']
73,KBS On.csv,"['place', 'build', 'kb', 'kb', 'free', 'kb']",['touring']
74,Korea Furniture Museum.csv,"['furnitur', 'korean', 'guid', 'museum', 'collect', 'histori', 'tour', 'beauti', 'one']",['touring']
75,Korea House.csv,"['food', 'good', 'realli', 'show', 'dinner', 'tradit', 'korean', 'perform', 'korea']","['shopping', 'touring']"
76,Korea University.csv,"['campus', 'also', 'univers', 'good', 'place', 'studi', 'korea']",['touring']
77,Korean Postage Stamp Museum.csv,"['post', 'stamp', 'museum', 'korean', 'place']",['touring']
78,KTX (Korea Train Express).csv,"['ticket', 'korea', 'seat', 'class', 'luggag', 'train', 'seoul', 'ktx']",[]
79,Kukkiwon World Taekwondo Headquarters.csv,['show'],['touring']
80,Kwanghee Fasion Mall.csv,[],[]
81,Kwangjang Market.csv,"['tri', 'eat', 'pancak', 'market', 'food', 'place', 'korean']",['shopping']
82,Kyunghee University Seoul Campus.csv,"['univers', 'cherri', 'nice', 'build', 'beauti', 'style', 'campus', 'blossom', 'student']",['touring']
83,Leeum Samsung Museum of Art.csv,"['art', 'modern', 'exhibit', 'museum', 'one', 'well', 'visit', 'collect']",['touring']
84,Lotte Department Store Main.csv,"['store', 'lott', 'depart', 'food', 'mall', 'price', 'shop', 'floor', 'brand']",['shopping']
85,Lotte FitIn.csv,"['floor', 'cloth', 'good', 'store', 'tax', 'lott', 'shop', 'mall']",['shopping']
86,Lotte Outlets Seoul Station.csv,"['seoul', 'outlet', 'lott', 'price', 'good', 'lot', 'place', 'korean', 'buy']",['shopping']
87,Lotte World Aquarium.csv,"['aquarium', 'lott', 'world', 'fish', 'see', 'visit', 'beluga', 'whale', 'tank']",['touring']
88,Lotte World Folk Museum.csv,"['museum', 'also', 'ticket', 'miniatur', 'life', 'visit', 'lott', 'world', 'korean']",['touring']
89,Lotte World Tower & Mall.csv,"['tower', 'visit', 'time', 'view', 'floor', 'seoul', 'mall', 'shop', 'lott']",['shopping']
90,Lotte World.csv,"['park', 'fun', 'outdoor', 'lott', 'ride', 'world', 'time', 'go']","['walking', 'touring']"
91,Lotte Young Plaza Myeongdong.csv,"['store', 'lott', 'young', 'mall', 'brand', 'cloth', 'shop', 'myeongdong', 'like']",['shopping']
92,Love Museum.csv,"['fun', 'lot', 'go', 'friend', 'funni', 'coupl', 'museum', 'visit', 'place']",['touring']
93,L’atelier.csv,['realli'],[]
